CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
   59    536     27      110.90        0.00      110.90     -110.90       0.00      -110.90   446.0000       0.2487        0.000        0.000
   60   2350     27      111.40        0.00      111.40     -111.40       0.00      -111.40   558.0000       0.1996        0.000        0.000
   61   2684     28       11.49        0.00       11.49      -11.49       0.00       -11.49   216.0000       0.0532        0.000        0.000
   62   3892     28      -10.59        0.00      -10.59       10.59       0.00        10.59   190.0000       0.0557        0.000        0.000
   63   2887     29       27.87        0.00       27.87      -27.87       0.00       -27.87   193.0000       0.1444        0.000        0.000
   64   3321     29       11.52        0.00       11.52      -11.52       0.00       -11.52   312.0000       0.0369        0.000        0.000
   65   3321     29       12.79        0.00       12.79      -12.79       0.00       -12.79   345.0000       0.0371        0.000        0.000
   66    144     30       29.56        0.00       29.56      -29.56       0.00       -29.56   161.0000       0.1836        0.000        0.000
   67   1553     30       -6.32        0.00       -6.32        6.32       0.00         6.32   212.0000       0.0298        0.000        0.000
   68   4841     30       20.34        0.00       20.34      -20.34       0.00       -20.34   281.0000       0.0724        0.000        0.000
   69    150     31      -11.93        0.00      -11.93       11.93       0.00        11.93   740.0000       0.0161        0.000        0.000
   70   3162     31       -0.30        0.00       -0.30        0.30       0.00         0.30   82782.0000       0.0000        0.000        0.000
   71   3692     31      -23.59        0.00      -23.59       23.59       0.00        23.59   295.0000       0.0800        0.000        0.000
   72   4741     31       -8.17        0.00       -8.17        8.17       0.00         8.17   1018.0000       0.0080        0.000        0.000
   73    150     31      -12.32        0.00      -12.32       12.32       0.00        12.32   767.0000       0.0161        0.000        0.000
   74   3729     32       -3.08        0.00       -3.08        3.08       0.00         3.08   902.0000       0.0034        0.000        0.000
   75    366     34       40.88        0.00       40.88      -40.88       0.00       -40.88   288.0000       0.1419        0.000        0.000
   76   1017     33     -132.37        0.00     -132.37      132.37       0.00       132.37   289.0000       0.4580        0.000        0.000
   77   1158     33      -13.61        0.00      -13.61       13.61       0.00        13.61   255.0000       0.0534        0.000        0.000
   78   2580     34      -30.29        0.00      -30.29       30.29       0.00        30.29   288.0000       0.1052        0.000        0.000
   79   2704     34      -61.41        0.00      -61.41       61.41       0.00        61.41   255.0000       0.2408        0.000        0.000
   80   4746     33      -27.70        0.00      -27.70       27.70       0.00        27.70   3441.0000       0.0080        0.000        0.000
   81   4858     34       -4.79        0.00       -4.79        4.79       0.00         4.79   9629.0000       0.0005        0.000        0.000
   82   5671     33       18.84        0.00       18.84      -18.84       0.00       -18.84   288.0000       0.0654        0.000        0.000
   83    368     35       92.00        0.00       92.00      -92.00       0.00       -92.00   1034.0000       0.0890        0.000        0.000
   84   1109     35      -35.57        0.00      -35.57       35.57       0.00        35.57   1786.0000       0.0199        0.000        0.000
   85   2150     35      212.63        0.00      212.63     -212.63       0.00      -212.63   2462.0000       0.0864        0.000        0.000
   86   3135     35     -374.45        0.00     -374.45      374.45       0.00       374.45   1644.0000       0.2278        0.000        0.000
   87    367     36       92.00        0.00       92.00      -92.00       0.00       -92.00   1095.0000       0.0840        0.000        0.000
   88   2150     35      212.44        0.00      212.44     -212.44       0.00      -212.44   2462.0000       0.0863        0.000        0.000
   89   2150     36      171.97        0.00      171.97     -171.97       0.00      -171.97   1433.0000       0.1200        0.000        0.000
   90   5229     37      -17.44        0.00      -17.44       17.44       0.00        17.44   229.0000       0.0762        0.000        0.000
   91   5515     37       14.74        0.00       14.74      -14.74       0.00       -14.74   328.0000       0.0449        0.000        0.000
   92    730     38        5.00        0.00        5.00       -5.00       0.00        -5.00   4462.0000       0.0011        0.000        0.000
   93   1229     39       23.77        0.00       23.77      -23.77       0.00       -23.77   697.0000       0.0341        0.000        0.000
