CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
 1640   1341    794        0.00        0.00        0.00        0.00       0.00         0.00   438.0000       0.0000        0.000        0.000
 1641   4542    793      -28.34        0.00      -28.34       28.34       0.00        28.34   316.0000       0.0897        0.000        0.000
 1642    705    795      111.00        0.00      111.00     -111.00       0.00      -111.00   292.0000       0.3801        0.000        0.000
 1643    810    795       62.00        0.00       62.00      -62.00       0.00       -62.00   292.0000       0.2123        0.000        0.000
 1644    926    795      -13.70        0.00      -13.70       13.70       0.00        13.70   430.0000       0.0319        0.000        0.000
 1645   1984    795        0.00        0.00        0.00        0.00       0.00         0.00   333.0000       0.0000        0.000        0.000
 1646   4780    795     -110.48        0.00     -110.48      110.48       0.00       110.48   333.0000       0.3318        0.000        0.000
 1647   5235    795        2.88        0.00        2.88       -2.88       0.00        -2.88   333.0000       0.0086        0.000        0.000
 1648   5275    795       25.39        0.00       25.39      -25.39       0.00       -25.39   423.0000       0.0600        0.000        0.000
 1649   1905    795       34.68        0.00       34.68      -34.68       0.00       -34.68   423.0000       0.0820        0.000        0.000
 1650   5209    795        0.00        0.00        0.00        0.00       0.00         0.00   292.0000       0.0000        0.000        0.000
 1651    959    796     -233.54        0.00     -233.54      233.54       0.00       233.54   1711.0000       0.1365        0.000        0.000
 1652   1219    796      233.54        0.00      233.54     -233.54       0.00      -233.54   1611.0000       0.1450        0.000        0.000
 1653   2629    797       10.00        0.00       10.00      -10.00       0.00       -10.00   2728.0000       0.0037        0.000        0.000
 1654   2349    798       -4.75        0.00       -4.75        4.75       0.00         4.75   362.0000       0.0131        0.000        0.000
 1655   4623    798        4.75        0.00        4.75       -4.75       0.00        -4.75   525.0000       0.0090        0.000        0.000
 1656   4905    799        0.00        0.00        0.00        0.00       0.00         0.00   369.0000       0.0000        0.000        0.000
 1657   4843    800      -17.48        0.00      -17.48       17.48       0.00        17.48   247.0000       0.0708        0.000        0.000
 1658   4905    800       17.48        0.00       17.48      -17.48       0.00       -17.48   369.0000       0.0474        0.000        0.000
 1659    480    801       26.02        0.00       26.02      -26.02       0.00       -26.02   536.0000       0.0485        0.000        0.000
 1660    927    801       38.78        0.00       38.78      -38.78       0.00       -38.78   16094.0000       0.0024        0.000        0.000
 1661    823    802      -30.43        0.00      -30.43       30.43       0.00        30.43   4138.0000       0.0074        0.000        0.000
 1662   3124    802       -7.30        0.00       -7.30        7.30       0.00         7.30   7080.0000       0.0010        0.000        0.000
 1663   4403    802       37.73        0.00       37.73      -37.73       0.00       -37.73   2128.0000       0.0177        0.000        0.000
 1664   1223    803       12.10        0.00       12.10      -12.10       0.00       -12.10   408.0000       0.0297        0.000        0.000
 1665   1989    804      -12.48        0.00      -12.48       12.48       0.00        12.48   346.0000       0.0361        0.000        0.000
 1666   3494    804        6.24        0.00        6.24       -6.24       0.00        -6.24   213.0000       0.0293        0.000        0.000
 1667   4407    804      -38.47        0.00      -38.47       38.47       0.00        38.47   2555.0000       0.0151        0.000        0.000
 1668   1989    804      -12.52        0.00      -12.52       12.52       0.00        12.52   347.0000       0.0361        0.000        0.000
 1669    944    805     -104.10        0.00     -104.10      104.10       0.00       104.10   552.0000       0.1886        0.000        0.000
 1670   1963    805      269.64        0.00      269.64     -269.64       0.00      -269.64   1355.0000       0.1990        0.000        0.000
 1671   5209    809       -0.00        0.00       -0.00        0.00       0.00         0.00   292.0000       0.0000        0.000        0.000
 1672   3678    811       11.00        0.00       11.00      -11.00       0.00       -11.00   6082.0000       0.0018        0.000        0.000
 1673   1766    812        0.00        0.00        0.00        0.00       0.00         0.00   85273.0000       0.0000        0.000        0.000
 1674   3147    812      -27.40        0.00      -27.40       27.40       0.00        27.40   189.0000       0.1450        0.000        0.000
 1675   1480    814       -0.60        0.00       -0.60        0.60       0.00         0.60   541.0000       0.0011        0.000        0.000
 1676   1480    813       62.40        0.00       62.40      -62.40       0.00       -62.40   541.0000       0.1153        0.000        0.000
 1677   1613    815      -17.08        0.00      -17.08       17.08       0.00        17.08   152.0000       0.1124        0.000        0.000
 1678   4926    815       14.98        0.00       14.98      -14.98       0.00       -14.98   338.0000       0.0443        0.000        0.000
 1679    850    816      -30.50        0.00      -30.50       30.50       0.00        30.50   1013.0000       0.0301        0.000        0.000
 1680   5614    816       52.55        0.00       52.55      -52.55       0.00       -52.55   986.0000       0.0533        0.000        0.000
 1681   5609    816       47.55        0.00       47.55      -47.55       0.00       -47.55   974.0000       0.0488        0.000        0.000
 1682   3751    817        2.90        0.00        2.90       -2.90       0.00        -2.90   257.0000       0.0113        0.000        0.000
 1683   4936    818        5.00        0.00        5.00       -5.00       0.00        -5.00   2909.0000       0.0017        0.000        0.000
 1684   4442    819       17.12        0.00       17.12      -17.12       0.00       -17.12   205.0000       0.0835        0.000        0.000
 1685   4925    819       -2.02        0.00       -2.02        2.02       0.00         2.02   405.0000       0.0050        0.000        0.000
 1686   5296    821      -97.00        0.00      -97.00       97.00       0.00        97.00   19262.0000       0.0050        0.000        0.000
 1687   5295    820      -32.00        0.00      -32.00       32.00       0.00        32.00   82782.0000       0.0004        0.000        0.000
 1688   1565    822       76.50        0.00       76.50      -76.50       0.00       -76.50   322.0000       0.2376        0.000        0.000
 1689   3735    822        6.80        0.00        6.80       -6.80       0.00        -6.80   575.0000       0.0118        0.000        0.000
 1690   2442    823       -5.30        0.00       -5.30        5.30       0.00         5.30   52398.0000       0.0001        0.000        0.000
 1691    825    824        2.52        0.00        2.52       -2.52       0.00        -2.52   8292.0000       0.0003        0.000        0.000
 1692   4325    824       -2.52        0.00       -2.52        2.52       0.00         2.52   697.0000       0.0036        0.000        0.000
 1693   1072    825       14.45        0.00       14.45      -14.45       0.00       -14.45   184.0000       0.0785        0.000        0.000
 1694   5535    825       12.56        0.00       12.56      -12.56       0.00       -12.56   197.0000       0.0638        0.000        0.000
 1695   1690    826       41.10        0.00       41.10      -41.10       0.00       -41.10   541.0000       0.0760        0.000        0.000
 1696   5212    827       30.80        0.00       30.80      -30.80       0.00       -30.80   482.0000       0.0639        0.000        0.000
 1697   4832    828        6.70        0.00        6.70       -6.70       0.00        -6.70   1390.0000       0.0048        0.000        0.000
 1698   2134    829        1.20        0.00        1.20       -1.20       0.00        -1.20   4554.0000       0.0003        0.000        0.000
 1699   4248    830        0.00        0.00        0.00        0.00       0.00         0.00   1252.0000       0.0000        0.000        0.000
 1700   2012    831        9.02        0.00        9.02       -9.02       0.00        -9.02    80.0000       0.1128        0.000        0.000
 1701   3666    832     -344.53        0.00     -344.53      344.53       0.00       344.53   546.0000       0.6310        0.000        0.000
 1702   1200    833      585.69        0.00      585.69     -585.69       0.00      -585.69   1075.0000       0.5448        0.000        0.000
 1703   2786    833     -241.16        0.00     -241.16      241.16       0.00       241.16   1524.0000       0.1582        0.000        0.000
 1704   2719    834      -16.59        0.00      -16.59       16.59       0.00        16.59   941.0000       0.0176        0.000        0.000
 1705   3094    836       -1.00        0.00       -1.00        1.00       0.00         1.00   321.0000       0.0031        0.000        0.000
 1706   4045    836        1.00        0.00        1.00       -1.00       0.00        -1.00   496.0000       0.0020        0.000        0.000
 1707   4679    837        0.10        0.00        0.10       -0.10       0.00        -0.10   4845.0000       0.0000        0.000        0.000
 1708   5215    838        0.00        0.00        0.00        0.00       0.00         0.00   7650.0000       0.0000        0.000        0.000
 1709   1678    839      -49.58        0.00      -49.58       49.58       0.00        49.58   543.0000       0.0913        0.000        0.000
 1710   4639    839       90.78        0.00       90.78      -90.78       0.00       -90.78   690.0000       0.1316        0.000        0.000
 1711   2236    840       41.98        0.00       41.98      -41.98       0.00       -41.98   279.0000       0.1505        0.000        0.000
 1712   3027    840      -12.47        0.00      -12.47       12.47       0.00        12.47   211.0000       0.0591        0.000        0.000
 1713   3380    840       18.68        0.00       18.68      -18.68       0.00       -18.68   222.0000       0.0842        0.000        0.000
 1714   3452    841      -10.79        0.00      -10.79       10.79       0.00        10.79   233.0000       0.0463        0.000        0.000
 1715   3657    841       29.32        0.00       29.32      -29.32       0.00       -29.32   591.0000       0.0496        0.000        0.000
 1716   4778    841      -20.24        0.00      -20.24       20.24       0.00        20.24   1018.0000       0.0199        0.000        0.000
 1717   2958    843        0.00        0.00        0.00        0.00       0.00         0.00   458.0000       0.0000        0.000        0.000
 1718   5406    842        0.00        0.00        0.00       -0.00       0.00        -0.00   233.0000       0.0000        0.000        0.000
 1719   5545    842       -0.00        0.00       -0.00        0.00       0.00         0.00   12012.0000       0.0000        0.000        0.000
 1720   5214    844        9.60        0.00        9.60       -9.60       0.00        -9.60   687.0000       0.0140        0.000        0.000
 1721   2953    845        4.52        0.00        4.52       -4.52       0.00        -4.52   148.0000       0.0305        0.000        0.000
 1722   4124    845       -4.52        0.00       -4.52        4.52       0.00         4.52   245.0000       0.0184        0.000        0.000
 1723   4832    846       45.10        0.00       45.10      -45.10       0.00       -45.10   803.0000       0.0562        0.000        0.000
 1724   5210    847        2.30        0.00        2.30       -2.30       0.00        -2.30   27427.0000       0.0001        0.000        0.000
 1725   1883    848        6.80        0.00        6.80       -6.80       0.00        -6.80   10493.0000       0.0006        0.000        0.000
 1726   1883    848        6.80        0.00        6.80       -6.80       0.00        -6.80   10493.0000       0.0006        0.000        0.000
 1727   1552    849       -8.00        0.00       -8.00        8.00       0.00         8.00   191.0000       0.0419        0.000        0.000
 1728   5044    849       18.80        0.00       18.80      -18.80       0.00       -18.80   150.0000       0.1253        0.000        0.000
 1729   2999    851       18.00        0.00       18.00      -18.00       0.00       -18.00   1253.0000       0.0144        0.000        0.000
 1730   2999    853       16.00        0.00       16.00      -16.00       0.00       -16.00   1560.0000       0.0103        0.000        0.000
 1731   2999    852       28.90        0.00       28.90      -28.90       0.00       -28.90   1648.0000       0.0175        0.000        0.000
 1732   1924    854      -12.62        0.00      -12.62       12.62       0.00        12.62   148.0000       0.0853        0.000        0.000
 1733   3797    854       -5.80        0.00       -5.80        5.80       0.00         5.80   1023.0000       0.0057        0.000        0.000
 1734   3956    854      -28.55        0.00      -28.55       28.55       0.00        28.55   302.0000       0.0945        0.000        0.000
 1735   5547    854      -39.13        0.00      -39.13       39.13       0.00        39.13   929.0000       0.0421        0.000        0.000
 1736   5268    854      -16.20        0.00      -16.20       16.20       0.00        16.20   190.0000       0.0853        0.000        0.000
 1737   5548    854      -39.25        0.00      -39.25       39.25       0.00        39.25   865.0000       0.0454        0.000        0.000
 1738   2781    855      -70.65        0.00      -70.65       70.65       0.00        70.65   413.0000       0.1711        0.000        0.000
 1739   3002    855      125.79        0.00      125.79     -125.79       0.00      -125.79   460.0000       0.2735        0.000        0.000
 1740   3165    855      -36.21        0.00      -36.21       36.21       0.00        36.21   420.0000       0.0862        0.000        0.000
 1741   3165    855      -38.01        0.00      -38.01       38.01       0.00        38.01   389.0000       0.0977        0.000        0.000
 1742   4028    856      -63.68        0.00      -63.68       63.68       0.00        63.68   1807.0000       0.0352        0.000        0.000
 1743   4028    856      -64.36        0.00      -64.36       64.36       0.00        64.36   1827.0000       0.0352        0.000        0.000
 1744   1822    857      -16.28        0.00      -16.28       16.28       0.00        16.28   217.0000       0.0750        0.000        0.000
 1745   1822    857      -16.48        0.00      -16.48       16.48       0.00        16.48   220.0000       0.0749        0.000        0.000
 1746   3671    858       20.93        0.00       20.93      -20.93       0.00       -20.93   566.0000       0.0370        0.000        0.000
 1747   2590    859      694.51        0.00      694.51     -694.51       0.00      -694.51   1708.0000       0.4066        0.000        0.000
 1748   2798    859     -436.17        0.00     -436.17      436.17       0.00       436.17   1917.0000       0.2275        0.000        0.000
 1749   1142    860        7.00        0.00        7.00       -7.00       0.00        -7.00   193.0000       0.0363        0.000        0.000
 1750   5690    861       10.20        0.00       10.20      -10.20       0.00       -10.20   2104.0000       0.0048        0.000        0.000
 1751   2718    862        5.17        0.00        5.17       -5.17       0.00        -5.17   105.0000       0.0492        0.000        0.000
 1752   3111    862       -6.52        0.00       -6.52        6.52       0.00         6.52   125.0000       0.0521        0.000        0.000
 1753   5757    862       30.29        0.00       30.29      -30.29       0.00       -30.29   307.0000       0.0987        0.000        0.000
 1754   2971    863       23.30        0.00       23.30      -23.30       0.00       -23.30   768.0000       0.0303        0.000        0.000
 1755   4911    863      -23.30        0.00      -23.30       23.30       0.00        23.30   3854.0000       0.0060        0.000        0.000
 1756   3217    865      159.50        0.00      159.50     -159.50       0.00      -159.50   335.0000       0.4761        0.000        0.000
 1757   3342    865      -73.50        0.00      -73.50       73.50       0.00        73.50   272.0000       0.2702        0.000        0.000
 1758   2379    866       10.91        0.00       10.91      -10.91       0.00       -10.91    99.0000       0.1102        0.000        0.000
 1759   3450    866       -9.00        0.00       -9.00        9.00       0.00         9.00   164.0000       0.0549        0.000        0.000
 1760   3904    866       -6.56        0.00       -6.56        6.56       0.00         6.56   150.0000       0.0437        0.000        0.000
 1761   4326    866       26.85        0.00       26.85      -26.85       0.00       -26.85   130.0000       0.2065        0.000        0.000
 1762   4105    868        0.20        0.00        0.20       -0.20       0.00        -0.20   440.0000       0.0005        0.000        0.000
 1763   4105    867        0.20        0.00        0.20       -0.20       0.00        -0.20   507.0000       0.0004        0.000        0.000
 1764   5222    870       -7.80        0.00       -7.80        7.80       0.00         7.80   12010.0000       0.0006        0.000        0.000
 1765   5219    869        0.00        0.00        0.00        0.00       0.00         0.00   12010.0000       0.0000        0.000        0.000
 1766   4217    871       -0.00        0.00       -0.00        0.00       0.00         0.00   319.0000       0.0000        0.000        0.000
 1767   1159    872        0.00        0.00        0.00        0.00       0.00         0.00   983.0000       0.0000        0.000        0.000
 1768   5392    873        0.30        0.00        0.30       -0.30       0.00        -0.30   2340.0000       0.0001        0.000        0.000
 1769   1613    874        0.74        0.00        0.74       -0.74       0.00        -0.74   113.0000       0.0066        0.000        0.000
 1770   2254    874       46.66        0.00       46.66      -46.66       0.00       -46.66   161.0000       0.2898        0.000        0.000
 1771   4494    874       -2.00        0.00       -2.00        2.00       0.00         2.00   12351.0000       0.0002        0.000        0.000
 1772   2489    876       22.90        0.00       22.90      -22.90       0.00       -22.90   1532.0000       0.0149        0.000        0.000
 1773   2489    875       16.00        0.00       16.00      -16.00       0.00       -16.00   2339.0000       0.0068        0.000        0.000
 1774   4649    877       54.27        0.00       54.27      -54.27       0.00       -54.27   930.0000       0.0584        0.000        0.000
 1775   4651    877      -56.97        0.00      -56.97       56.97       0.00        56.97   834.0000       0.0683        0.000        0.000
 1776   4598    878        5.43        0.00        5.43       -5.43       0.00        -5.43   325.0000       0.0167        0.000        0.000
 1777   5260    878      -23.52        0.00      -23.52       23.52       0.00        23.52   414.0000       0.0568        0.000        0.000
 1778   4598    878       32.33        0.00       32.33      -32.33       0.00       -32.33   1859.0000       0.0174        0.000        0.000
 1779   2667    879       -4.52        0.00       -4.52        4.52       0.00         4.52   348.0000       0.0130        0.000        0.000
 1780   4342    879       53.72        0.00       53.72      -53.72       0.00       -53.72   847.0000       0.0634        0.000        0.000
 1781   2254    881       26.00        0.00       26.00      -26.00       0.00       -26.00   862.0000       0.0302        0.000        0.000
 1782   2254    880       24.00        0.00       24.00      -24.00       0.00       -24.00   862.0000       0.0278        0.000        0.000
 1783   5223    882        1.10        0.00        1.10       -1.10       0.00        -1.10   471.0000       0.0023        0.000        0.000
 1784   5220    883       14.10        0.00       14.10      -14.10       0.00       -14.10   540.0000       0.0261        0.000        0.000
 1785   3393    884      -45.60        0.00      -45.60       45.60       0.00        45.60   148.0000       0.3081        0.000        0.000
 1786   3732    884      -18.59        0.00      -18.59       18.59       0.00        18.59   176.0000       0.1056        0.000        0.000
 1787   4762    884      -15.50        0.00      -15.50       15.50       0.00        15.50   2662.0000       0.0058        0.000        0.000
 1788   5051    884       -4.50        0.00       -4.50        4.50       0.00         4.50   197.0000       0.0228        0.000        0.000
 1789   5670    885       -6.55        0.00       -6.55        6.55       0.00         6.55   229.0000       0.0286        0.000        0.000
 1790   5773    885       11.88        0.00       11.88      -11.88       0.00       -11.88   107.0000       0.1111        0.000        0.000
 1791   4783    884       -1.48        0.00       -1.48        1.48       0.00         1.48    87.0000       0.0170        0.000        0.000
 1792   2044    886     -104.94        0.00     -104.94      104.94       0.00       104.94   335.0000       0.3132        0.000        0.000
 1793   2985    887      -79.56        0.00      -79.56       79.56       0.00        79.56   540.0000       0.1473        0.000        0.000
 1794   3612    886      -82.17        0.00      -82.17       82.17       0.00        82.17   335.0000       0.2453        0.000        0.000
 1795   4601    886      392.96        0.00      392.96     -392.96       0.00      -392.96   935.0000       0.4203        0.000        0.000
 1796   5828    887      -42.95        0.00      -42.95       42.95       0.00        42.95   300.0000       0.1432        0.000        0.000
 1797   4601    887      122.51        0.00      122.51     -122.51       0.00      -122.51   935.0000       0.1310        0.000        0.000
 1798   2210    888      -17.29        0.00      -17.29       17.29       0.00        17.29   1095.0000       0.0158        0.000        0.000
 1799   5297    888       65.29        0.00       65.29      -65.29       0.00       -65.29   1181.0000       0.0553        0.000        0.000
 1800   5449    889        3.90        0.00        3.90       -3.90       0.00        -3.90   1499.0000       0.0026        0.000        0.000
 1801   5226    890        0.00        0.00        0.00        0.00       0.00         0.00   12010.0000       0.0000        0.000        0.000
 1802   3307    891       47.58        0.00       47.58      -47.58       0.00       -47.58   1078.0000       0.0441        0.000        0.000
 1803   4680    891      -13.03        0.00      -13.03       13.03       0.00        13.03   148.0000       0.0881        0.000        0.000
 1804   5557    891       46.44        0.00       46.44      -46.44       0.00       -46.44   497.0000       0.0934        0.000        0.000
 1805   2186    893       54.30        0.00       54.30      -54.30       0.00       -54.30   21471.0000       0.0025        0.000        0.000
 1806   3006    892      175.70        0.00      175.70     -175.70       0.00      -175.70   27618.0000       0.0064        0.000        0.000
 1807   4126    892     -109.80        0.00     -109.80      109.80       0.00       109.80   42153.0000       0.0026        0.000        0.000
 1808   1312    895      -40.90        0.00      -40.90       40.90       0.00        40.90   4057.0000       0.0101        0.000        0.000
 1809   2040    896       21.98        0.00       21.98      -21.98       0.00       -21.98   295.0000       0.0745        0.000        0.000
 1810   5224    896       19.72        0.00       19.72      -19.72       0.00       -19.72   599.0000       0.0329        0.000        0.000
 1811   2538    897        6.00        0.00        6.00       -6.00       0.00        -6.00   5882.0000       0.0010        0.000        0.000
 1812   3380    898       27.26        0.00       27.26      -27.26       0.00       -27.26   229.0000       0.1191        0.000        0.000
 1813   4152    898        3.24        0.00        3.24       -3.24       0.00        -3.24   343.0000       0.0094        0.000        0.000
 1814   4783    899       15.90        0.00       15.90      -15.90       0.00       -15.90   182.0000       0.0874        0.000        0.000
 1815   4913    900    -1326.90        0.00    -1326.90     1326.90       0.00      1326.90   2487.0000       0.5335        0.000        0.000
 1816   4913    901       54.10        0.00       54.10      -54.10       0.00       -54.10   2487.0000       0.0218        0.000        0.000
 1817   4914    902    -1362.60        0.00    -1362.60     1362.60       0.00      1362.60   2487.0000       0.5479        0.000        0.000
 1818   4914    903    -1401.60        0.00    -1401.60     1401.60       0.00      1401.60   2487.0000       0.5636        0.000        0.000
 1819   5081    906       23.73        0.00       23.73      -23.73       0.00       -23.73   651.0000       0.0365        0.000        0.000
 1820   5851    906      -12.63        0.00      -12.63       12.63       0.00        12.63   11095.0000       0.0011        0.000        0.000
 1821   4721    907       25.70        0.00       25.70      -25.70       0.00       -25.70   127.0000       0.2024        0.000        0.000
 1822   3939    908      -18.41        0.00      -18.41       18.41       0.00        18.41   243.0000       0.0757        0.000        0.000
 1823   4164    908       47.20        0.00       47.20      -47.20       0.00       -47.20   383.0000       0.1233        0.000        0.000
 1824   3380    909       41.63        0.00       41.63      -41.63       0.00       -41.63   377.0000       0.1104        0.000        0.000
 1825   4152    909        0.37        0.00        0.37       -0.37       0.00        -0.37   413.0000       0.0009        0.000        0.000
 1826   3574    910      -68.60        0.00      -68.60       68.60       0.00        68.60   20979.0000       0.0033        0.000        0.000
 1827   4078    910      169.80        0.00      169.80     -169.80       0.00      -169.80   403.0000       0.4213        0.000        0.000
 1828   5802    911       -0.00        0.00       -0.00        0.00       0.00         0.00   1019.0000       0.0000        0.000        0.000
 1829   5230    912       14.00        0.00       14.00      -14.00       0.00       -14.00   2617.0000       0.0053        0.000        0.000
 1830   3647    913       31.19        0.00       31.19      -31.19       0.00       -31.19   677.0000       0.0461        0.000        0.000
 1831   5803    913        3.11        0.00        3.11       -3.11       0.00        -3.11   263.0000       0.0118        0.000        0.000
 1832   2485    914       18.38        0.00       18.38      -18.38       0.00       -18.38   172.0000       0.1068        0.000        0.000
 1833   4441    914       -0.48        0.00       -0.48        0.48       0.00         0.48   281.0000       0.0017        0.000        0.000
 1834   1754    915        6.40        0.00        6.40       -6.40       0.00        -6.40   1669.0000       0.0038        0.000        0.000
 1835   5233    918        0.00        0.00        0.00        0.00       0.00         0.00   12010.0000       0.0000        0.000        0.000
 1836   2315    920     -116.23        0.00     -116.23      116.23       0.00       116.23   336.0000       0.3459        0.000        0.000
 1837   2448    919        4.66        0.00        4.66       -4.66       0.00        -4.66   336.0000       0.0139        0.000        0.000
 1838   2448    919        5.03        0.00        5.03       -5.03       0.00        -5.03   422.0000       0.0119        0.000        0.000
 1839   2448    920      110.46        0.00      110.46     -110.46       0.00      -110.46   422.0000       0.2618        0.000        0.000
 1840   2782    921      -24.73        0.00      -24.73       24.73       0.00        24.73   1573.0000       0.0157        0.000        0.000
 1841   4864    921       21.36        0.00       21.36      -21.36       0.00       -21.36   1434.0000       0.0149        0.000        0.000
 1842   2782    921      -24.80        0.00      -24.80       24.80       0.00        24.80   1578.0000       0.0157        0.000        0.000
 1843   4864    921       21.37        0.00       21.37      -21.37       0.00       -21.37   1435.0000       0.0149        0.000        0.000
 1844   5234    922        9.20        0.00        9.20       -9.20       0.00        -9.20   314.0000       0.0293        0.000        0.000
 1845   4832    923       22.82        0.00       22.82      -22.82       0.00       -22.82   306.0000       0.0746        0.000        0.000
 1846   1803    924        3.61        0.00        3.61       -3.61       0.00        -3.61   113.0000       0.0319        0.000        0.000
 1847   5672    924       10.05        0.00       10.05      -10.05       0.00       -10.05   839.0000       0.0120        0.000        0.000
 1848   4460    924       10.14        0.00       10.14      -10.14       0.00       -10.14   159.0000       0.0638        0.000        0.000
 1849   5170    925        3.89        0.00        3.89       -3.89       0.00        -3.89   288.0000       0.0135        0.000        0.000
 1850   5753    925       -2.29        0.00       -2.29        2.29       0.00         2.29   521.0000       0.0044        0.000        0.000
 1851   5562    927       34.78        0.00       34.78      -34.78       0.00       -34.78   326.0000       0.1067        0.000        0.000
 1852   1348    928      -12.68        0.00      -12.68       12.68       0.00        12.68   469.0000       0.0270        0.000        0.000
 1853   2561    928      -14.62        0.00      -14.62       14.62       0.00        14.62   279.0000       0.0524        0.000        0.000
 1854   1348    928      -12.62        0.00      -12.62       12.62       0.00        12.62   467.0000       0.0270        0.000        0.000
 1855   2561    928      -14.62        0.00      -14.62       14.62       0.00        14.62   279.0000       0.0524        0.000        0.000
 1856   3154    929      499.49        0.00      499.49     -499.49       0.00      -499.49   1397.0000       0.3575        0.000        0.000
 1857   3368    929     -337.99        0.00     -337.99      337.99       0.00       337.99   1486.0000       0.2274        0.000        0.000
 1858   2398    930       -7.00        0.00       -7.00        7.00       0.00         7.00   4207.0000       0.0017        0.000        0.000
 1859   3839    930       11.43        0.00       11.43      -11.43       0.00       -11.43   548.0000       0.0209        0.000        0.000
 1860   2706    931       16.00        0.00       16.00      -16.00       0.00       -16.00    74.0000       0.2162        0.000        0.000
 1861   5324    931       -3.20        0.00       -3.20        3.20       0.00         3.20   444.0000       0.0072        0.000        0.000
 1862   2173    932        0.00        0.00        0.00        0.00       0.00         0.00   1060.0000       0.0000        0.000        0.000
 1863   1792    933       13.44        0.00       13.44      -13.44       0.00       -13.44   473.0000       0.0284        0.000        0.000
 1864   1792    933       14.46        0.00       14.46      -14.46       0.00       -14.46   509.0000       0.0284        0.000        0.000
 1865   4120    934        2.20        0.00        2.20       -2.20       0.00        -2.20   551.0000       0.0040        0.000        0.000
 1866   5818    935       17.78        0.00       17.78      -17.78       0.00       -17.78   183.0000       0.0971        0.000        0.000
 1867   3485    936       17.77        0.00       17.77      -17.77       0.00       -17.77   460.0000       0.0386        0.000        0.000
 1868   3556    936     -184.34        0.00     -184.34      184.34       0.00       184.34   540.0000       0.3414        0.000        0.000
 1869   5424    937     -460.94        0.00     -460.94      460.94       0.00       460.94   720.0000       0.6402        0.000        0.000
 1870   5473    936      118.80        0.00      118.80     -118.80       0.00      -118.80   437.0000       0.2718        0.000        0.000
 1871   5475    936       47.77        0.00       47.77      -47.77       0.00       -47.77   524.0000       0.0912        0.000        0.000
 1872   5422    937     -437.89        0.00     -437.89      437.89       0.00       437.89   720.0000       0.6082        0.000        0.000
 1873   5365    938     -400.83        0.00     -400.83      400.83       0.00       400.83   935.0000       0.4287        0.000        0.000
 1874   5366    938     -404.24        0.00     -404.24      404.24       0.00       404.24   935.0000       0.4323        0.000        0.000
 1875   2893    939       11.78        0.00       11.78      -11.78       0.00       -11.78   1579.0000       0.0075        0.000        0.000
 1876   4602    939      910.82        0.00      910.82     -910.82       0.00      -910.82   1579.0000       0.5768        0.000        0.000
 1877   2893    940       55.82        0.00       55.82      -55.82       0.00       -55.82   1579.0000       0.0353        0.000        0.000
 1878   4603    940      735.98        0.00      735.98     -735.98       0.00      -735.98   1579.0000       0.4661        0.000        0.000
 1879   2812    941        3.15        0.00        3.15       -3.15       0.00        -3.15   373.0000       0.0084        0.000        0.000
 1880   5675    941        9.75        0.00        9.75       -9.75       0.00        -9.75   424.0000       0.0230        0.000        0.000
 1881   2118    942      -14.39        0.00      -14.39       14.39       0.00        14.39   119.0000       0.1209        0.000        0.000
 1882   2551    942      -15.38        0.00      -15.38       15.38       0.00        15.38   1366.0000       0.0113        0.000        0.000
 1883   3211    942      -38.97        0.00      -38.97       38.97       0.00        38.97   595.0000       0.0655        0.000        0.000
 1884   3548    942       -4.08        0.00       -4.08        4.08       0.00         4.08   136.0000       0.0300        0.000        0.000
 1885   5479    942      -17.14        0.00      -17.14       17.14       0.00        17.14   1012.0000       0.0169        0.000        0.000
 1886   5644    942       -4.72        0.00       -4.72        4.72       0.00         4.72   231.0000       0.0204        0.000        0.000
 1887   2551    942      -15.38        0.00      -15.38       15.38       0.00        15.38   1363.0000       0.0113        0.000        0.000
 1888   4889    943       43.82        0.00       43.82      -43.82       0.00       -43.82   540.0000       0.0811        0.000        0.000
 1889   4889    943       43.82        0.00       43.82      -43.82       0.00       -43.82   540.0000       0.0811        0.000        0.000
 1890   2559    945        8.00        0.00        8.00       -8.00       0.00        -8.00   234.0000       0.0342        0.000        0.000
 1891   1533    946       15.60        0.00       15.60      -15.60       0.00       -15.60   1116.0000       0.0140        0.000        0.000
 1892   1533    946       13.95        0.00       13.95      -13.95       0.00       -13.95   1032.0000       0.0135        0.000        0.000
 1893   3338    948      -19.31        0.00      -19.31       19.31       0.00        19.31   347.0000       0.0557        0.000        0.000
 1894   3916    948       19.31        0.00       19.31      -19.31       0.00       -19.31   158.0000       0.1222        0.000        0.000
 1895   2462    947       -9.79        0.00       -9.79        9.79       0.00         9.79   148.0000       0.0661        0.000        0.000
 1896   3916    947        9.79        0.00        9.79       -9.79       0.00        -9.79   158.0000       0.0619        0.000        0.000
 1897   3307    949        2.70        0.00        2.70       -2.70       0.00        -2.70   2856.0000       0.0009        0.000        0.000
 1898   2708    950       -6.00        0.00       -6.00        6.00       0.00         6.00   3338.0000       0.0018        0.000        0.000
 1899   3321    950        0.19        0.00        0.19       -0.19       0.00        -0.19   284.0000       0.0007        0.000        0.000
