BUS;V_pu;Theta_deg;P_MW;Q_MVAr;PG_MW;QG_MVAr;PD_MW;QD_MVAr;Psh_MW;Qsh_MVAr
1555;1.0;-39.82;-26.3;0.0;0.0;0.0;26.3;0.0;0.0;0.0
1556;1.0;-34.17;-40.7;0.0;0.0;0.0;40.7;0.0;0.0;0.0
1557;1.0;-29.43;-0.9;0.0;0.0;0.0;0.9;0.0;0.0;0.0
1558;1.0;-32.93;-30.7;0.0;0.0;0.0;30.7;0.0;0.0;0.0
1559;1.0;-28.44;-25.1;0.0;0.0;0.0;25.1;0.0;0.0;0.0
1560;1.0;-31.12;19.7;0.0;49.0;0.0;29.3;0.0;0.0;0.0
1561;1.0;-36.21;-37.9;0.0;0.0;0.0;37.9;0.0;0.0;0.0
1562;1.0;-36.62;-7.8;0.0;0.0;0.0;7.8;0.0;0.0;0.0
1563;1.0;-44.31;-60.1;0.0;0.0;0.0;60.1;0.0;0.0;0.0
1564;1.0;-38.22;-40.5;0.0;0.0;0.0;40.5;0.0;0.0;0.0
1565;1.0;-36.35;-44.4;0.0;0.0;0.0;44.4;0.0;0.0;0.0
1566;1.0;-47.06;-16.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0
1567;1.0;-17.13;-14.2;0.0;0.0;0.0;14.2;0.0;0.0;0.0
1568;1.0;-24.64;-27.5;0.0;0.0;0.0;27.5;0.0;0.0;0.0
1569;1.0;-24.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1570;1.0;-20.67;-26.5;0.0;0.0;0.0;26.5;0.0;0.0;0.0
1571;1.0;-26.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1572;1.0;-26.01;-80.4;0.0;0.0;0.0;80.4;0.0;0.0;0.0
1573;1.0;-28.72;-21.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0
1574;1.0;-30.53;-7.4;0.0;0.0;0.0;7.4;0.0;0.0;0.0
1575;1.0;-24.44;-45.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0
